Visibility,Pressure,WindSpeed,Court,Teammate
Unlimited,High,Fast,Open,Available
Limited,Low,Slow,Closed,Busy
Unlimited,Low,Fast,Open,Busy
Limited,High,Slow,Closed,Available
Unlimited,Low,Fast,Open,Available
Unlimited,High,Slow,Closed,Busy
Unlimited,Low,Fast,Closed,Available
Unlimited,High,Slow,Open,Available
Limited,Low,Slow,Closed,Busy
Limited,High,Fast,Open,Available
Unlimited,Low,Fast,Closed,Busy
Limited,High,Slow,Closed,Busy
Unlimited,Low,Fast,Open,Available
Unlimited,High,Slow,Closed,Busy
Limited,Low,Slow,Open,Busy
Unlimited,Low,Slow,Closed,Available
Limited,High,Fast,Open,Busy
Limited,Low,Slow,Closed,Available
Unlimited,High,Fast,Closed,Busy
Unlimited,Low,Slow,Open,Available
Limited,High,Fast,Open,Busy
Unlimited,Low,Slow,Closed,Busy
Limited,Low,Slow,Closed,Available
Limited,High,Fast,Open,Busy
Unlimited,Low,Slow,Closed,Available
Unlimited,High,Fast,Open,Available
